invoice_id,customer_id,invoice_date,due_date,payment_date,invoice_amount,credit_term,days_late,days_overdue,is_paid,is_late,is_overdue,payment_delay,risk_category,invoice_month,invoice_quarter,amount_bucket,risk_score,predicted_late,invoice_date_str,due_date_str,payment_date_str
INV-000018,CUST-1360,2023-01-23,2023-02-22,2023-02-24,9901.15,30,2.0,0,1,1,0,2.0,Low Risk,1,1,Large,0.6861806511878967,1.0,2023-01-23,2023-02-22,2023-02-24
INV-000019,CUST-1152,2024-07-18,2024-08-17,2024-08-17,3601.63,30,0.0,0,1,0,0,0.0,No Risk,7,3,Medium,0.1951819360256195,0.0,2024-07-18,2024-08-17,2024-08-17
INV-000020,CUST-1131,2024-11-07,2024-12-07,2024-12-06,2421.51,30,-1.0,0,1,0,0,-1.0,No Risk,11,4,Medium,0.7695100903511047,1.0,2024-11-07,2024-12-07,2024-12-06
INV-000021,CUST-1150,2024-12-14,2025-01-13,2025-01-17,3717.52,30,4.0,0,1,1,0,4.0,Low Risk,12,4,Medium,0.9940986633300781,1.0,2024-12-14,2025-01-13,2025-01-17
INV-000022,CUST-1309,2024-04-02,2024-05-02,2024-05-02,3699.43,30,0.0,0,1,0,0,0.0,No Risk,4,2,Medium,0.0019713465590029955,0.0,2024-04-02,2024-05-02,2024-05-02
INV-000023,CUST-1258,2023-03-24,2023-04-23,2023-04-21,4619.18,30,-2.0,0,1,0,0,-2.0,No Risk,3,1,Medium,0.00383095839060843,0.0,2023-03-24,2023-04-23,2023-04-21
INV-000024,CUST-1344,2023-05-25,2023-06-24,2023-06-27,8165.17,30,3.0,0,1,1,0,3.0,Low Risk,5,2,Large,0.6798363327980042,1.0,2023-05-25,2023-06-24,2023-06-27
INV-000025,CUST-1492,2023-03-26,2023-04-25,2023-04-26,7815.99,30,1.0,0,1,1,0,1.0,Low Risk,3,1,Large,0.896024763584137,1.0,2023-03-26,2023-04-25,2023-04-26
INV-000026,CUST-1414,2023-03-19,2023-04-18,2023-04-15,12832.38,30,-3.0,0,1,0,0,-3.0,No Risk,3,1,Large,0.0031249644234776497,0.0,2023-03-19,2023-04-18,2023-04-15
INV-000027,CUST-1294,2024-04-01,2024-05-31,,2567.81,60,,393,0,0,1,393.0,High Risk,4,2,Medium,,,2024-04-01,2024-05-31,
INV-000028,CUST-1386,2023-01-01,2023-01-31,2023-02-07,6707.46,30,7.0,0,1,1,0,7.0,Low Risk,1,1,Large,0.9979852437973022,1.0,2023-01-01,2023-01-31,2023-02-07
INV-000029,CUST-1192,2023-02-20,2023-03-22,2023-03-24,8794.27,30,2.0,0,1,1,0,2.0,Low Risk,2,1,Large,0.9977497458457947,1.0,2023-02-20,2023-03-22,2023-03-24
INV-000030,CUST-1444,2024-11-15,2024-12-15,2024-12-19,2865.86,30,4.0,0,1,1,0,4.0,Low Risk,11,4,Medium,0.7650124430656433,1.0,2024-11-15,2024-12-15,2024-12-19
INV-000031,CUST-1277,2024-12-17,2025-01-16,2025-01-14,4162.6,30,-2.0,0,1,0,0,-2.0,No Risk,12,4,Medium,0.08350104093551636,0.0,2024-12-17,2025-01-16,2025-01-14
INV-000032,CUST-1161,2024-03-21,2024-05-20,2024-05-23,1211.99,60,3.0,0,1,1,0,3.0,Low Risk,3,1,Medium,0.5637882351875305,1.0,2024-03-21,2024-05-20,2024-05-23
INV-000033,CUST-1460,2024-03-24,2024-05-08,,10152.61,45,,416,0,0,1,416.0,High Risk,3,1,Large,,,2024-03-24,2024-05-08,
INV-000034,CUST-1314,2024-05-02,2024-06-01,2024-06-01,4136.48,30,0.0,0,1,0,0,0.0,No Risk,5,2,Medium,0.36665597558021545,0.0,2024-05-02,2024-06-01,2024-06-01
INV-000035,CUST-1022,2023-02-03,2023-03-20,2023-03-28,9369.84,45,8.0,0,1,1,0,8.0,Low Risk,2,1,Large,0.9955098628997803,1.0,2023-02-03,2023-03-20,2023-03-28
INV-000036,CUST-1253,2023-12-14,2024-02-12,2024-02-17,5795.51,60,5.0,0,1,1,0,5.0,Low Risk,12,4,Large,0.8167687058448792,1.0,2023-12-14,2024-02-12,2024-02-17
INV-000037,CUST-1236,2023-04-05,2023-06-04,2023-06-07,4238.09,60,3.0,0,1,1,0,3.0,Low Risk,4,2,Medium,0.9959169030189514,1.0,2023-04-05,2023-06-04,2023-06-07
INV-000038,CUST-1345,2023-03-13,2023-04-27,2023-04-28,1374.38,45,1.0,0,1,1,0,1.0,Low Risk,3,1,Medium,0.9942206144332886,1.0,2023-03-13,2023-04-27,2023-04-28
INV-000039,CUST-1049,2024-07-04,2024-08-18,2024-09-04,1584.52,45,17.0,0,1,1,0,17.0,Low Risk,7,3,Medium,0.9965848922729492,1.0,2024-07-04,2024-08-18,2024-09-04
INV-000040,CUST-1475,2023-06-03,2023-07-03,2023-06-27,617.38,30,-6.0,0,1,0,0,-6.0,No Risk,6,2,Small,0.006061841733753681,0.0,2023-06-03,2023-07-03,2023-06-27
INV-000041,CUST-1059,2023-09-07,2023-10-07,,3133.51,30,,630,0,0,1,630.0,High Risk,9,3,Medium,,,2023-09-07,2023-10-07,
INV-000042,CUST-1170,2024-11-04,2024-12-04,2024-12-08,30412.2,30,4.0,0,1,1,0,4.0,Low Risk,11,4,XLarge,0.7555266618728638,1.0,2024-11-04,2024-12-04,2024-12-08
INV-000043,CUST-1476,2024-03-13,2024-03-28,2024-03-29,1753.98,15,1.0,0,1,1,0,1.0,Low Risk,3,1,Medium,0.9965110421180725,1.0,2024-03-13,2024-03-28,2024-03-29
INV-000044,CUST-1188,2023-04-28,2023-05-28,2023-05-29,598.76,30,1.0,0,1,1,0,1.0,Low Risk,4,2,Small,0.9984661340713501,1.0,2023-04-28,2023-05-28,2023-05-29
INV-000045,CUST-1464,2023-11-02,2023-12-02,2023-12-04,10616.19,30,2.0,0,1,1,0,2.0,Low Risk,11,4,Large,0.9081994891166687,1.0,2023-11-02,2023-12-02,2023-12-04
INV-000046,CUST-1271,2023-09-25,2023-10-25,2023-11-11,32564.38,30,17.0,0,1,1,0,17.0,Low Risk,9,3,XLarge,0.9356968998908997,1.0,2023-09-25,2023-10-25,2023-11-11
INV-000047,CUST-1190,2023-02-23,2023-04-09,2023-04-14,6237.51,45,5.0,0,1,1,0,5.0,Low Risk,2,1,Large,0.7931817173957825,1.0,2023-02-23,2023-04-09,2023-04-14
INV-000048,CUST-1446,2023-08-24,2023-10-23,2023-10-25,6191.83,60,2.0,0,1,1,0,2.0,Low Risk,8,3,Large,0.8936942219734192,1.0,2023-08-24,2023-10-23,2023-10-25
INV-000049,CUST-1175,2024-01-24,2024-02-08,2024-02-09,3835.65,15,1.0,0,1,1,0,1.0,Low Risk,1,1,Medium,0.996721088886261,1.0,2024-01-24,2024-02-08,2024-02-09
INV-000050,CUST-1446,2024-02-05,2024-03-06,2024-04-09,1169.81,30,34.0,0,1,1,0,34.0,Medium Risk,2,1,Medium,0.779299795627594,1.0,2024-02-05,2024-03-06,2024-04-09
INV-000051,CUST-1051,2024-09-15,2024-10-30,2024-11-10,1539.83,45,11.0,0,1,1,0,11.0,Low Risk,9,3,Medium,0.07163705676794052,0.0,2024-09-15,2024-10-30,2024-11-10
INV-000052,CUST-1364,2023-10-30,2023-11-14,2023-11-07,3814.62,15,-7.0,0,1,0,0,-7.0,No Risk,10,4,Medium,0.002638690872117877,0.0,2023-10-30,2023-11-14,2023-11-07
INV-000053,CUST-1055,2023-07-26,2023-09-09,2023-09-09,3272.26,45,0.0,0,1,0,0,0.0,No Risk,7,3,Medium,0.009964646771550179,0.0,2023-07-26,2023-09-09,2023-09-09
INV-000054,CUST-1244,2023-08-17,2023-09-16,2023-10-27,4482.17,30,41.0,0,1,1,0,41.0,Medium Risk,8,3,Medium,0.9935712814331055,1.0,2023-08-17,2023-09-16,2023-10-27
INV-000055,CUST-1320,2024-07-31,2024-08-30,2024-09-04,9542.01,30,5.0,0,1,1,0,5.0,Low Risk,7,3,Large,0.9932647943496704,1.0,2024-07-31,2024-08-30,2024-09-04
INV-000056,CUST-1131,2023-03-16,2023-05-15,2023-05-18,3085.69,60,3.0,0,1,1,0,3.0,Low Risk,3,1,Medium,0.15499348938465118,0.0,2023-03-16,2023-05-15,2023-05-18
INV-000057,CUST-1485,2024-03-10,2024-04-09,2024-04-12,9698.95,30,3.0,0,1,1,0,3.0,Low Risk,3,1,Large,0.868523120880127,1.0,2024-03-10,2024-04-09,2024-04-12
INV-000058,CUST-1307,2023-04-13,2023-05-13,2023-05-24,3101.89,30,11.0,0,1,1,0,11.0,Low Risk,4,2,Medium,0.7868707776069641,1.0,2023-04-13,2023-05-13,2023-05-24
INV-000059,CUST-1135,2024-02-26,2024-04-11,2024-04-11,11277.8,45,0.0,0,1,0,0,0.0,No Risk,2,1,Large,0.0450439415872097,0.0,2024-02-26,2024-04-11,2024-04-11
INV-000060,CUST-1021,2024-12-04,2024-12-19,2024-12-21,5266.36,15,2.0,0,1,1,0,2.0,Low Risk,12,4,Large,0.9971697926521301,1.0,2024-12-04,2024-12-19,2024-12-21
INV-000061,CUST-1329,2023-11-02,2023-12-02,2023-12-05,3468.01,30,3.0,0,1,1,0,3.0,Low Risk,11,4,Medium,0.9973415732383728,1.0,2023-11-02,2023-12-02,2023-12-05
INV-000062,CUST-1167,2023-04-08,2023-06-07,2023-06-06,5194.91,60,-1.0,0,1,0,0,-1.0,No Risk,4,2,Large,0.131087526679039,0.0,2023-04-08,2023-06-07,2023-06-06
INV-000063,CUST-1274,2023-12-01,2023-12-31,2024-02-03,3886.13,30,34.0,0,1,1,0,34.0,Medium Risk,12,4,Medium,0.9931636452674866,1.0,2023-12-01,2023-12-31,2024-02-03
INV-000064,CUST-1388,2024-03-10,2024-04-24,2024-04-25,5380.34,45,1.0,0,1,1,0,1.0,Low Risk,3,1,Large,0.7904353141784668,1.0,2024-03-10,2024-04-24,2024-04-25
INV-000065,CUST-1089,2024-03-22,2024-04-21,2024-04-25,9013.56,30,4.0,0,1,1,0,4.0,Low Risk,3,1,Large,0.9966592788696289,1.0,2024-03-22,2024-04-21,2024-04-25
INV-000066,CUST-1316,2023-11-04,2023-12-04,2023-12-05,4583.54,30,1.0,0,1,1,0,1.0,Low Risk,11,4,Medium,0.9964655637741089,1.0,2023-11-04,2023-12-04,2023-12-05
INV-000067,CUST-1014,2023-09-06,2023-10-06,2023-10-13,3656.8,30,7.0,0,1,1,0,7.0,Low Risk,9,3,Medium,0.9952167272567749,1.0,2023-09-06,2023-10-06,2023-10-13
INV-000068,CUST-1242,2023-06-15,2023-07-15,2023-07-21,2000.57,30,6.0,0,1,1,0,6.0,Low Risk,6,2,Medium,0.9712514877319336,1.0,2023-06-15,2023-07-15,2023-07-21
INV-000069,CUST-1265,2024-04-25,2024-06-24,2024-07-09,7811.42,60,15.0,0,1,1,0,15.0,Low Risk,4,2,Large,0.3800775110721588,0.0,2024-04-25,2024-06-24,2024-07-09
INV-000070,CUST-1346,2023-12-01,2024-01-30,2024-01-30,6493.89,60,0.0,0,1,0,0,0.0,No Risk,12,4,Large,0.17463579773902893,0.0,2023-12-01,2024-01-30,2024-01-30
INV-000071,CUST-1053,2024-06-25,2024-07-25,2024-07-24,1909.21,30,-1.0,0,1,0,0,-1.0,No Risk,6,2,Medium,0.3911721706390381,0.0,2024-06-25,2024-07-25,2024-07-24
INV-000072,CUST-1386,2023-04-16,2023-05-31,2023-05-27,9589.23,45,-4.0,0,1,0,0,-4.0,No Risk,4,2,Large,0.997684121131897,1.0,2023-04-16,2023-05-31,2023-05-27
INV-000073,CUST-1340,2024-07-16,2024-08-15,2024-08-15,1884.57,30,0.0,0,1,0,0,0.0,No Risk,7,3,Medium,0.11381858587265015,0.0,2024-07-16,2024-08-15,2024-08-15
INV-000074,CUST-1092,2023-03-22,2023-04-21,2023-04-23,11196.73,30,2.0,0,1,1,0,2.0,Low Risk,3,1,Large,0.44105246663093567,0.0,2023-03-22,2023-04-21,2023-04-23
INV-000075,CUST-1367,2023-05-13,2023-06-12,2023-06-26,8521.01,30,14.0,0,1,1,0,14.0,Low Risk,5,2,Large,0.9716164469718933,1.0,2023-05-13,2023-06-12,2023-06-26
INV-000076,CUST-1444,2023-05-18,2023-06-17,,6875.59,30,,742,0,0,1,742.0,High Risk,5,2,Large,,,2023-05-18,2023-06-17,
INV-000077,CUST-1455,2023-07-03,2023-08-02,2023-08-21,3635.14,30,19.0,0,1,1,0,19.0,Low Risk,7,3,Medium,0.9966502785682678,1.0,2023-07-03,2023-08-02,2023-08-21
INV-000078,CUST-1428,2024-02-05,2024-03-21,2024-03-21,7790.22,45,0.0,0,1,0,0,0.0,No Risk,2,1,Large,0.00785769522190094,0.0,2024-02-05,2024-03-21,2024-03-21
INV-000079,CUST-1264,2023-11-26,2023-12-26,2024-01-06,11627.14,30,11.0,0,1,1,0,11.0,Low Risk,11,4,Large,0.9292619228363037,1.0,2023-11-26,2023-12-26,2024-01-06
INV-000080,CUST-1431,2024-05-22,2024-06-06,2024-07-18,7894.18,15,42.0,0,1,1,0,42.0,Medium Risk,5,2,Large,0.7849698066711426,1.0,2024-05-22,2024-06-06,2024-07-18
INV-000081,CUST-1035,2023-03-10,2023-04-09,2023-04-09,2874.98,30,0.0,0,1,0,0,0.0,No Risk,3,1,Medium,0.23140622675418854,0.0,2023-03-10,2023-04-09,2023-04-09
INV-000082,CUST-1206,2024-06-29,2024-07-29,2024-08-03,6087.09,30,5.0,0,1,1,0,5.0,Low Risk,6,2,Large,0.9968270659446716,1.0,2024-06-29,2024-07-29,2024-08-03
INV-000083,CUST-1081,2023-02-22,2023-04-08,2023-04-09,12156.61,45,1.0,0,1,1,0,1.0,Low Risk,2,1,Large,0.9940119385719299,1.0,2023-02-22,2023-04-08,2023-04-09
INV-000084,CUST-1420,2024-03-25,2024-04-24,2024-04-28,28546.18,30,4.0,0,1,1,0,4.0,Low Risk,3,1,XLarge,0.8029223084449768,1.0,2024-03-25,2024-04-24,2024-04-28
INV-000085,CUST-1050,2023-07-24,2023-08-23,2023-08-27,4170.66,30,4.0,0,1,1,0,4.0,Low Risk,7,3,Medium,0.992660403251648,1.0,2023-07-24,2023-08-23,2023-08-27
INV-000086,CUST-1360,2023-05-06,2023-06-05,2023-06-05,9762.53,30,0.0,0,1,0,0,0.0,No Risk,5,2,Large,0.3841891884803772,0.0,2023-05-06,2023-06-05,2023-06-05
INV-000087,CUST-1388,2023-02-12,2023-03-14,2023-03-16,12180.41,30,2.0,0,1,1,0,2.0,Low Risk,2,1,Large,0.8304948806762695,1.0,2023-02-12,2023-03-14,2023-03-16
INV-000088,CUST-1002,2023-04-21,2023-05-21,2023-08-14,2565.93,30,85.0,0,1,1,0,85.0,Medium Risk,4,2,Medium,0.9965720176696777,1.0,2023-04-21,2023-05-21,2023-08-14
INV-000089,CUST-1390,2024-10-24,2024-11-23,2024-12-15,20448.46,30,22.0,0,1,1,0,22.0,Low Risk,10,4,XLarge,0.8425112962722778,1.0,2024-10-24,2024-11-23,2024-12-15
INV-000090,CUST-1054,2023-07-02,2023-08-16,2023-08-15,2096.14,45,-1.0,0,1,0,0,-1.0,No Risk,7,3,Medium,0.012424393557012081,0.0,2023-07-02,2023-08-16,2023-08-15
INV-000091,CUST-1106,2023-04-05,2023-05-20,2023-05-24,9388.01,45,4.0,0,1,1,0,4.0,Low Risk,4,2,Large,0.9970056414604187,1.0,2023-04-05,2023-05-20,2023-05-24
INV-000092,CUST-1260,2024-01-09,2024-02-08,2024-02-12,6274.54,30,4.0,0,1,1,0,4.0,Low Risk,1,1,Large,0.9976703524589539,1.0,2024-01-09,2024-02-08,2024-02-12
INV-000093,CUST-1310,2024-06-03,2024-06-18,2024-07-06,5138.21,15,18.0,0,1,1,0,18.0,Low Risk,6,2,Large,0.9977476000785828,1.0,2024-06-03,2024-06-18,2024-07-06
INV-000094,CUST-1477,2023-12-26,2024-01-25,2024-01-25,37701.93,30,0.0,0,1,0,0,0.0,No Risk,12,4,XLarge,0.00769862299785018,0.0,2023-12-26,2024-01-25,2024-01-25
INV-000095,CUST-1191,2024-11-26,2024-12-11,2024-12-11,3862.21,15,0.0,0,1,0,0,0.0,No Risk,11,4,Medium,0.004668544977903366,0.0,2024-11-26,2024-12-11,2024-12-11
INV-000096,CUST-1402,2023-10-08,2023-11-07,2023-11-06,3812.82,30,-1.0,0,1,0,0,-1.0,No Risk,10,4,Medium,0.24381950497627258,0.0,2023-10-08,2023-11-07,2023-11-06
INV-000097,CUST-1218,2023-07-14,2023-08-13,2023-08-16,14259.56,30,3.0,0,1,1,0,3.0,Low Risk,7,3,Large,0.9970017075538635,1.0,2023-07-14,2023-08-13,2023-08-16
INV-000098,CUST-1044,2023-07-14,2023-08-13,2023-09-22,9040.26,30,40.0,0,1,1,0,40.0,Medium Risk,7,3,Large,0.9962981343269348,1.0,2023-07-14,2023-08-13,2023-09-22
INV-000099,CUST-1162,2024-10-28,2024-11-27,2024-11-27,13707.24,30,0.0,0,1,0,0,0.0,No Risk,10,4,Large,0.007791823707520962,0.0,2024-10-28,2024-11-27,2024-11-27
INV-000100,CUST-1202,2023-04-03,2023-04-18,2023-04-17,5396.44,15,-1.0,0,1,0,0,-1.0,No Risk,4,2,Large,0.18811728060245514,0.0,2023-04-03,2023-04-18,2023-04-17
INV-000101,CUST-1446,2024-11-02,2024-12-02,2024-12-06,6333.16,30,4.0,0,1,1,0,4.0,Low Risk,11,4,Large,0.8946242332458496,1.0,2024-11-02,2024-12-02,2024-12-06
INV-000102,CUST-1484,2023-03-02,2023-04-01,2023-03-27,22488.26,30,-5.0,0,1,0,0,-5.0,No Risk,3,1,XLarge,0.44579577445983887,0.0,2023-03-02,2023-04-01,2023-03-27
INV-000103,CUST-1270,2024-09-25,2024-10-25,2024-10-24,2518.04,30,-1.0,0,1,0,0,-1.0,No Risk,9,3,Medium,0.005238612648099661,0.0,2024-09-25,2024-10-25,2024-10-24
INV-000104,CUST-1351,2023-02-20,2023-03-22,2023-03-22,4526.47,30,0.0,0,1,0,0,0.0,No Risk,2,1,Medium,0.002957605989649892,0.0,2023-02-20,2023-03-22,2023-03-22
INV-000105,CUST-1304,2024-02-07,2024-03-23,2024-03-22,9307.76,45,-1.0,0,1,0,0,-1.0,No Risk,2,1,Large,0.2435840219259262,0.0,2024-02-07,2024-03-23,2024-03-22
INV-000106,CUST-1271,2023-01-05,2023-02-04,2023-02-03,4201.98,30,-1.0,0,1,0,0,-1.0,No Risk,1,1,Medium,0.33015212416648865,0.0,2023-01-05,2023-02-04,2023-02-03
INV-000107,CUST-1456,2024-04-10,2024-06-09,2024-06-07,3114.68,60,-2.0,0,1,0,0,-2.0,No Risk,4,2,Medium,0.06114388257265091,0.0,2024-04-10,2024-06-09,2024-06-07
INV-000108,CUST-1462,2024-08-26,2024-09-25,2024-09-19,8060.96,30,-6.0,0,1,0,0,-6.0,No Risk,8,3,Large,0.25767436623573303,0.0,2024-08-26,2024-09-25,2024-09-19
INV-000109,CUST-1215,2024-11-12,2024-12-27,2025-01-03,14309.01,45,7.0,0,1,1,0,7.0,Low Risk,11,4,Large,0.8224779963493347,1.0,2024-11-12,2024-12-27,2025-01-03
INV-000110,CUST-1252,2024-06-17,2024-07-17,2024-07-17,4391.09,30,0.0,0,1,0,0,0.0,No Risk,6,2,Medium,0.15226924419403076,0.0,2024-06-17,2024-07-17,2024-07-17
INV-000111,CUST-1190,2024-02-09,2024-03-25,2024-03-19,4294.66,45,-6.0,0,1,0,0,-6.0,No Risk,2,1,Medium,0.11014994978904724,0.0,2024-02-09,2024-03-25,2024-03-19
INV-000112,CUST-1296,2024-05-27,2024-07-11,2024-07-12,2927.34,45,1.0,0,1,1,0,1.0,Low Risk,5,2,Medium,0.9959206581115723,1.0,2024-05-27,2024-07-11,2024-07-12
INV-000113,CUST-1213,2024-10-06,2024-11-05,2024-11-10,3878.56,30,5.0,0,1,1,0,5.0,Low Risk,10,4,Medium,0.9936394095420837,1.0,2024-10-06,2024-11-05,2024-11-10
INV-000114,CUST-1208,2023-08-21,2023-09-20,2023-09-22,11694.63,30,2.0,0,1,1,0,2.0,Low Risk,8,3,Large,0.17250120639801025,0.0,2023-08-21,2023-09-20,2023-09-22
INV-000115,CUST-1237,2024-06-07,2024-07-07,2024-07-06,5244.05,30,-1.0,0,1,0,0,-1.0,No Risk,6,2,Large,0.3321004807949066,0.0,2024-06-07,2024-07-07,2024-07-06
INV-000116,CUST-1338,2023-12-12,2024-01-11,2024-01-23,2581.19,30,12.0,0,1,1,0,12.0,Low Risk,12,4,Medium,0.9971060156822205,1.0,2023-12-12,2024-01-11,2024-01-23
INV-000117,CUST-1367,2023-02-15,2023-03-02,2023-04-13,6062.57,15,42.0,0,1,1,0,42.0,Medium Risk,2,1,Large,0.9075323939323425,1.0,2023-02-15,2023-03-02,2023-04-13
INV-000118,CUST-1053,2024-06-29,2024-07-29,2024-07-28,11395.29,30,-1.0,0,1,0,0,-1.0,No Risk,6,2,Large,0.298524409532547,0.0,2024-06-29,2024-07-29,2024-07-28
INV-000119,CUST-1280,2023-03-19,2023-04-18,2023-04-17,3135.34,30,-1.0,0,1,0,0,-1.0,No Risk,3,1,Medium,0.21950200200080872,0.0,2023-03-19,2023-04-18,2023-04-17
INV-000120,CUST-1410,2024-12-30,2025-01-29,2025-01-27,1697.85,30,-2.0,0,1,0,0,-2.0,No Risk,12,4,Medium,0.18281088769435883,0.0,2024-12-30,2025-01-29,2025-01-27
INV-000121,CUST-1217,2023-03-14,2023-04-28,2023-04-25,28357.88,45,-3.0,0,1,0,0,-3.0,No Risk,3,1,XLarge,0.092769093811512,0.0,2023-03-14,2023-04-28,2023-04-25
INV-000122,CUST-1252,2023-09-06,2023-10-06,2023-10-10,1631.37,30,4.0,0,1,1,0,4.0,Low Risk,9,3,Medium,0.7552927732467651,1.0,2023-09-06,2023-10-06,2023-10-10
INV-000123,CUST-1188,2023-02-16,2023-04-17,,3687.79,60,,803,0,0,1,803.0,High Risk,2,1,Medium,,,2023-02-16,2023-04-17,
INV-000124,CUST-1380,2023-05-01,2023-05-31,,5917.7,30,,759,0,0,1,759.0,High Risk,5,2,Large,,,2023-05-01,2023-05-31,
INV-000125,CUST-1493,2023-08-02,2023-09-01,2023-09-17,3952.32,30,16.0,0,1,1,0,16.0,Low Risk,8,3,Medium,0.9957839846611023,1.0,2023-08-02,2023-09-01,2023-09-17
INV-000126,CUST-1041,2023-08-27,2023-09-26,2023-09-25,4628.89,30,-1.0,0,1,0,0,-1.0,No Risk,8,3,Medium,0.13742071390151978,0.0,2023-08-27,2023-09-26,2023-09-25
INV-000127,CUST-1157,2023-02-25,2023-03-27,2023-03-25,7796.81,30,-2.0,0,1,0,0,-2.0,No Risk,2,1,Large,0.003082730807363987,0.0,2023-02-25,2023-03-27,2023-03-25
INV-000128,CUST-1015,2023-12-16,2024-01-30,2024-02-23,725.33,45,24.0,0,1,1,0,24.0,Low Risk,12,4,Small,0.9928501844406128,1.0,2023-12-16,2024-01-30,2024-02-23
INV-000129,CUST-1301,2023-04-17,2023-05-17,2023-05-16,1783.77,30,-1.0,0,1,0,0,-1.0,No Risk,4,2,Medium,0.6965562701225281,1.0,2023-04-17,2023-05-17,2023-05-16
INV-000130,CUST-1065,2023-02-17,2023-04-03,2023-05-03,5091.91,45,30.0,0,1,1,0,30.0,Low Risk,2,1,Large,0.9982635378837585,1.0,2023-02-17,2023-04-03,2023-05-03
INV-000131,CUST-1345,2024-07-26,2024-08-25,2024-08-26,3556.84,30,1.0,0,1,1,0,1.0,Low Risk,7,3,Medium,0.9973614811897278,1.0,2024-07-26,2024-08-25,2024-08-26
INV-000132,CUST-1327,2023-12-03,2024-01-02,2024-01-08,5450.86,30,6.0,0,1,1,0,6.0,Low Risk,12,4,Large,0.9461353421211243,1.0,2023-12-03,2024-01-02,2024-01-08
